client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
45,train,client_045_train.npz,client_045_val.npz,,user_1047.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6199,2,115,85,23,0,5,7,7,"[0, 0, 0, 14, 13, 0, 0, 0, 32, 21, 5]","[0, 0, 0, 4, 3, 0, 0, 0, 9, 5, 2]","[3, 4, 8, 9, 10]","[3, 4, 8, 9, 10]",[],[],[],"[3, 4, 8, 9, 10]","[3, 4, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
46,train,client_046_train.npz,client_046_val.npz,,user_1048.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6616,2,121,87,26,0,6,8,8,"[0, 0, 1, 19, 9, 0, 0, 0, 34, 17, 7]","[0, 0, 1, 5, 3, 0, 0, 0, 10, 5, 2]","[2, 3, 4, 8, 9, 10]","[2, 3, 4, 8, 9, 10]",[],[],[],"[2, 3, 4, 8, 9, 10]","[2, 3, 4, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
47,test,,,client_047_test.npz,user_1049.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6707,2,123,0,0,123,5,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
48,train,client_048_train.npz,client_048_val.npz,,user_1050.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5758,2,105,76,22,0,5,7,7,"[0, 0, 0, 16, 7, 0, 0, 0, 36, 11, 6]","[0, 0, 0, 4, 2, 0, 0, 0, 10, 3, 3]","[3, 4, 8, 9, 10]","[3, 4, 8, 9, 10]",[],[],[],"[3, 4, 8, 9, 10]","[3, 4, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
49,train,client_049_train.npz,client_049_val.npz,,user_1051.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",4405,2,82,60,17,0,3,5,5,"[0, 0, 0, 0, 0, 0, 0, 0, 36, 17, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 2]","[8, 9, 10]","[8, 9, 10]",[],[],[],"[8, 9, 10]","[8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
50,train,client_050_train.npz,client_050_val.npz,,user_1052.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6499,2,119,87,25,0,5,7,7,"[0, 0, 0, 18, 10, 0, 0, 0, 34, 17, 8]","[0, 0, 0, 5, 3, 0, 0, 0, 10, 5, 2]","[3, 4, 8, 9, 10]","[3, 4, 8, 9, 10]",[],[],[],"[3, 4, 8, 9, 10]","[3, 4, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
51,train,client_051_train.npz,client_051_val.npz,,user_1053.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5678,2,105,77,23,0,4,5,5,"[0, 0, 0, 17, 9, 0, 0, 0, 34, 17, 0]","[0, 0, 0, 5, 3, 0, 0, 0, 10, 5, 0]","[3, 4, 8, 9]","[3, 4, 8, 9]",[],[],[],"[3, 4, 8, 9]","[3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
52,train,client_052_train.npz,client_052_val.npz,,user_1054.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",3655,2,69,51,15,0,2,3,3,"[0, 0, 0, 0, 0, 0, 0, 0, 34, 17, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 0]","[8, 9]","[8, 9]",[],[],[],"[8, 9]","[8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
53,test,,,client_053_test.npz,user_1055.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7287,2,133,0,0,133,7,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
54,train,client_054_train.npz,client_054_val.npz,,user_1056.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6741,2,122,86,27,0,6,9,9,"[0, 0, 4, 17, 11, 0, 0, 3, 34, 17, 0]","[0, 0, 2, 5, 3, 0, 0, 2, 10, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
55,train,client_055_train.npz,client_055_val.npz,,user_1057.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6076,2,114,85,24,0,4,5,5,"[0, 0, 0, 17, 10, 0, 0, 0, 40, 18, 0]","[0, 0, 0, 5, 3, 0, 0, 0, 11, 5, 0]","[3, 4, 8, 9]","[3, 4, 8, 9]",[],[],[],"[3, 4, 8, 9]","[3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
56,train,client_056_train.npz,client_056_val.npz,,user_1058.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6721,2,121,86,26,0,6,9,9,"[0, 0, 5, 17, 10, 0, 0, 4, 33, 17, 0]","[0, 0, 2, 5, 3, 0, 0, 2, 9, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
57,train,client_057_train.npz,client_057_val.npz,,user_1060.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7150,2,127,88,28,0,7,11,11,"[0, 0, 6, 17, 8, 2, 0, 4, 34, 17, 0]","[0, 0, 2, 5, 2, 2, 0, 2, 10, 5, 0]","[2, 3, 4, 5, 7, 8, 9]","[2, 3, 4, 5, 7, 8, 9]",[],[],[],"[2, 3, 4, 5, 7, 8, 9]","[2, 3, 4, 5, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
58,train,client_058_train.npz,client_058_val.npz,,user_1061.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",8061,2,144,102,31,0,7,11,11,"[0, 0, 3, 19, 10, 3, 0, 8, 42, 17, 0]","[0, 0, 2, 5, 3, 2, 0, 2, 12, 5, 0]","[2, 3, 4, 5, 7, 8, 9]","[2, 3, 4, 5, 7, 8, 9]",[],[],[],"[2, 3, 4, 5, 7, 8, 9]","[2, 3, 4, 5, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
59,train,client_059_train.npz,client_059_val.npz,,user_1062.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5618,2,102,73,22,0,6,7,7,"[0, 0, 4, 25, 7, 0, 0, 2, 18, 17, 0]","[0, 0, 2, 7, 2, 0, 0, 1, 5, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
60,train,client_060_train.npz,client_060_val.npz,,user_1063.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",9400,2,174,130,35,0,5,9,9,"[0, 0, 2, 17, 9, 0, 0, 0, 68, 34, 0]","[0, 0, 1, 4, 3, 0, 0, 0, 18, 9, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
61,train,client_061_train.npz,client_061_val.npz,,user_1064.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6263,2,117,86,25,0,5,6,6,"[0, 0, 4, 17, 9, 0, 0, 0, 34, 22, 0]","[0, 0, 1, 5, 3, 0, 0, 0, 10, 6, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
62,train,client_062_train.npz,client_062_val.npz,,user_1065.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5744,2,106,78,22,0,5,6,6,"[0, 0, 1, 17, 9, 0, 0, 0, 34, 17, 0]","[0, 0, 1, 4, 2, 0, 0, 0, 10, 5, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
63,train,client_063_train.npz,client_063_val.npz,,user_1066.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5128,2,95,72,18,0,3,5,5,"[0, 0, 0, 17, 4, 0, 0, 0, 51, 0, 0]","[0, 0, 0, 4, 1, 0, 0, 0, 13, 0, 0]","[3, 4, 8]","[3, 4, 8]",[],[],[],"[3, 4, 8]","[3, 4, 8]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
64,test,,,client_064_test.npz,user_1067.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",4322,2,80,0,0,80,4,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
65,test,,,client_065_test.npz,user_1068.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7477,2,131,0,0,131,5,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
66,test,,,client_066_test.npz,user_1069.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6972,2,127,0,0,127,6,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
67,test,,,client_067_test.npz,user_1070.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7247,2,131,0,0,131,6,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
68,train,client_068_train.npz,client_068_val.npz,,user_1071.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",10879,2,197,142,40,0,6,15,15,"[0, 0, 9, 33, 14, 0, 0, 16, 35, 35, 0]","[0, 0, 3, 9, 4, 0, 0, 4, 10, 10, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
69,train,client_069_train.npz,client_069_val.npz,,user_1072.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5809,2,109,81,23,0,4,5,5,"[0, 0, 0, 17, 9, 0, 0, 0, 38, 17, 0]","[0, 0, 0, 5, 2, 0, 0, 0, 11, 5, 0]","[3, 4, 8, 9]","[3, 4, 8, 9]",[],[],[],"[3, 4, 8, 9]","[3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
70,train,client_070_train.npz,client_070_val.npz,,user_1073.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",3743,2,70,52,15,0,2,3,3,"[0, 0, 0, 0, 0, 0, 0, 0, 35, 17, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 0]","[8, 9]","[8, 9]",[],[],[],"[8, 9]","[8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
71,train,client_071_train.npz,client_071_val.npz,,user_1074.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5165,2,93,67,19,0,4,7,7,"[0, 0, 3, 18, 0, 0, 0, 7, 0, 39, 0]","[0, 0, 2, 5, 0, 0, 0, 2, 0, 10, 0]","[2, 3, 7, 9]","[2, 3, 7, 9]",[],[],[],"[2, 3, 7, 9]","[2, 3, 7, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
72,train,client_072_train.npz,client_072_val.npz,,user_1075.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5760,2,106,77,23,0,5,6,6,"[0, 0, 2, 30, 9, 0, 0, 0, 18, 18, 0]","[0, 0, 2, 8, 3, 0, 0, 0, 5, 5, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
73,train,client_073_train.npz,client_073_val.npz,,user_1076.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",8939,2,165,121,34,0,6,10,10,"[0, 0, 6, 18, 22, 1, 0, 0, 56, 18, 0]","[0, 0, 2, 5, 6, 1, 0, 0, 15, 5, 0]","[2, 3, 4, 5, 8, 9]","[2, 3, 4, 5, 8, 9]",[],[],[],"[2, 3, 4, 5, 8, 9]","[2, 3, 4, 5, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
74,train,client_074_train.npz,client_074_val.npz,,user_1077.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7634,2,137,98,28,0,7,11,11,"[0, 0, 6, 18, 9, 2, 0, 9, 37, 17, 0]","[0, 0, 2, 5, 2, 2, 0, 2, 10, 5, 0]","[2, 3, 4, 5, 7, 8, 9]","[2, 3, 4, 5, 7, 8, 9]",[],[],[],"[2, 3, 4, 5, 7, 8, 9]","[2, 3, 4, 5, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
75,train,client_075_train.npz,client_075_val.npz,,user_1078.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6226,2,114,83,24,0,5,7,7,"[0, 0, 3, 18, 9, 0, 0, 0, 36, 17, 0]","[0, 0, 2, 5, 2, 0, 0, 0, 10, 5, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
76,train,client_076_train.npz,client_076_val.npz,,user_1079.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6637,2,123,91,25,0,5,7,7,"[0, 0, 5, 21, 11, 0, 0, 0, 36, 18, 0]","[0, 0, 2, 5, 3, 0, 0, 0, 10, 5, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
77,test,,,client_077_test.npz,user_1080.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",2249,2,32,0,0,32,1,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
78,train,client_078_train.npz,client_078_val.npz,,user_1081.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",1838,2,28,16,6,0,1,6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6]",[10],[10],[],[],[],[10],[10],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
79,train,client_079_train.npz,client_079_val.npz,,user_1082.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",15034,2,250,170,45,0,2,35,35,"[0, 0, 0, 0, 0, 130, 0, 40, 0, 0, 0]","[0, 0, 0, 0, 0, 35, 0, 10, 0, 0, 0]","[5, 7]","[5, 7]",[],[],[],"[5, 7]","[5, 7]",19.607843137254903,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
80,train,client_080_train.npz,client_080_val.npz,,user_1084.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",311,2,5,3,1,0,1,1,1,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",[5],[5],[],[],[],[5],[5],20.833333333333332,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
81,train,client_081_train.npz,client_081_val.npz,,user_1101.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",12894,2,235,172,47,0,3,16,16,"[0, 0, 94, 0, 0, 32, 46, 0, 0, 0, 0]","[0, 0, 25, 0, 0, 9, 13, 0, 0, 0, 0]","[2, 5, 6]","[2, 5, 6]",[],[],[],"[2, 5, 6]","[2, 5, 6]",20.833333333333332,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
